Modèle,Métrique,Valeur,Ecart type
défaut/DummyClassifier_Uniform,score_f1_classe1,0.07551622418879056,0.001720044806739029
défaut/DummyClassifier_Uniform,score_f1_classe1,0.07551622418879056,0.001720044806739029
défaut/DummyClassifier_Uniform,score_f1_classe1,0.07551622418879056,0.001720044806739029
défaut/DummyClassifier_MostFrequent,score_f1_classe1,0.16106194690265488,0.0014451266919074774
défaut/LogisticRegression,score_f1_classe1,0.3274336283185841,0.037971832460250196
défaut/LinearDiscriminantAnalysis,score_f1_classe1,0.3336283185840708,0.03570905813836099
défaut/DecisionTreeClassifier,score_f1_classe1,0.19380530973451324,0.0391408858519509
défaut/RandomForestClassifier,score_f1_classe1,0.340117994100295,0.03139341639383719
défaut/XGBClassifier,score_f1_classe1,0.3309734513274336,0.01953595361628136
défaut/CatBoostClassifier,score_f1_classe1,0.3507374631268437,0.039525822155049094
défaut/LGBMClassifier,score_f1_classe1,0.32359882005899704,0.030918619818888198
défaut/KNeighborsClassifier5,score_f1_classe1,0.2619469026548672,0.031240595386132684
défaut/KNeighborsClassifier15,score_f1_classe1,0.30294985250737466,0.014796384901456587
défaut/VotingClassifier,score_f1_classe1,0.343952802359882,0.035562548802785886
mca/DummyClassifier_Uniform,score_f1_classe1,0.07551622418879056,0.001720044806739029
mca/DummyClassifier_MostFrequent,score_f1_classe1,0.16106194690265488,0.0014451266919074774
mca/DummyClassifier_Uniform,score_f1_classe1,0.07551622418879056,0.001720044806739029
mca/DummyClassifier_MostFrequent,score_f1_classe1,0.16106194690265488,0.0014451266919074774
mca/DummyClassifier_Uniform,score_f1_classe1,0.07551622418879056,0.001720044806739029
mca/DummyClassifier_MostFrequent,score_f1_classe1,0.16106194690265488,0.0014451266919074774
mca/DecisionTreeClassifier,score_f1_classe1,0.25722713864306784,0.020995822595013872
mca/KNeighborsClassifier5,score_f1_classe1,0.3,0.03614743051808944
mca/KNeighborsClassifier15,score_f1_classe1,0.35191740412979344,0.03524549151915951
mca/DummyClassifier_Uniform,score_f1_classe1,0.07551622418879056,0.001720044806739029
mca/DummyClassifier_MostFrequent,score_f1_classe1,0.16106194690265488,0.0014451266919074774
mca/LogisticRegression,score_f1_classe1,0.3250737463126844,0.036147430518089434
mca/LinearDiscriminantAnalysis,score_f1_classe1,0.34424778761061947,0.047184732748353594
mca/RandomForestClassifier,score_f1_classe1,0.34247787610619473,0.03714237998448696
mca/DummyClassifier_Uniform,score_f1_classe1,0.07551622418879056,0.001720044806739029
mca/DummyClassifier_MostFrequent,score_f1_classe1,0.16106194690265488,0.0014451266919074774
mca/LogisticRegression,score_f1_classe1,0.3250737463126844,0.036147430518089434
mca/LinearDiscriminantAnalysis,score_f1_classe1,0.34424778761061947,0.047184732748353594
mca/RandomForestClassifier,score_f1_classe1,0.34247787610619473,0.03714237998448696
mca/XGBClassifier,score_f1_classe1,0.34129793510324485,0.029946451688992275
mca/CatBoostClassifier,score_f1_classe1,0.35870206489675516,0.034329997701418674
mca/LGBMClassifier,score_f1_classe1,0.33539823008849556,0.0368743362643074
mca/VotingClassifier,score_f1_classe1,0.34778761061946906,0.030318973823078698
mca_pi/DummyClassifier_Uniform,score_f1_classe1,0.07551622418879056,0.001720044806739029
mca_pi/DummyClassifier_MostFrequent,score_f1_classe1,0.16106194690265488,0.0014451266919074774
mca_pi/LogisticRegression,score_f1_classe1,0.33421828908554574,0.0394949890579083
mca_pi/LinearDiscriminantAnalysis,score_f1_classe1,0.33657817109144544,0.04440875343140721
mca_pi/RandomForestClassifier,score_f1_classe1,0.328023598820059,0.03690971638847684
mca_pi/XGBClassifier,score_f1_classe1,0.347787610619469,0.013039549324660995
mca_pi/CatBoostClassifier,score_f1_classe1,0.34159292035398237,0.023884699091442092
mca_pi/LGBMClassifier,score_f1_classe1,0.33598820058997053,0.016113864641590158
mca_pi/VotingClassifier,score_f1_classe1,0.35398230088495575,0.028062385826608312
